auction_id,market_number,market_name,market_population,bidding_units,small_market_indicator
107,PEA190,"Bozeman, MT",324077,970,Y
107,PEA191,"Petersburg, VA",321175,960,Y
107,PEA192,"Fayetteville, NC",319431,960,Y
107,PEA193,"Saint Joseph, MO",318414,960,Y
107,PEA194,"State College, PA",317863,950,Y
107,PEA195,"Lewiston, ID",317751,950,Y
107,PEA196,"Cape Girardeau, MO",315713,950,Y
107,PEA197,"Wheeling, WV",312837,940,Y
107,PEA198,"Jonesboro, AR",311312,930,Y
107,PEA199,"Dalton, GA",310645,930,Y
107,PEA200,"Danville, VA",310385,930,Y
107,PEA201,"Eagle Pass, TX",304111,910,Y
107,PEA202,"Columbus, GA",303722,910,Y
107,PEA203,"Traverse City, MI",303041,910,Y
107,PEA204,"Owensboro, KY",301206,900,Y
107,PEA205,"Douglas City, CA",300915,900,Y
107,PEA206,"Wenatchee, WA",300767,900,Y
107,PEA207,"Brunswick, GA",298749,900,Y
107,PEA208,"Salisbury, NC",297865,890,Y
107,PEA209,"Green Bay, WI",296366,890,Y
107,PEA210,"Binghamton, NY",295081,890,Y
107,PEA211,"Ardmore, OK",291829,880,Y
107,PEA213,"Bend, OR",289034,870,Y
107,PEA214,"Lincoln, NE",285407,860,Y
107,PEA215,"Hickory, NC",282468,850,Y
107,PEA216,"Joplin, MO",280505,840,Y
107,PEA217,"Lubbock, TX",278831,840,Y
107,PEA218,"Wausau, WI",278831,840,Y
107,PEA219,"Mason City, IA",277029,830,Y
107,PEA220,"Odessa, TX",274002,820,Y
107,PEA221,"Laredo, TX",269622,810,Y
107,PEA222,"Morristown, TN",268978,810,Y
107,PEA223,"Dubuque, IA",264752,790,Y
107,PEA224,"De Kalb, IL",257786,770,Y
107,PEA225,"La Crosse, WI",257376,770,Y
107,PEA226,"Lima, OH",256337,770,Y
107,PEA227,"Watertown, NY",255260,770,Y
107,PEA228,"Roanoke, VA",252548,760,Y
107,PEA229,"Saint George, UT",252481,760,Y
107,PEA230,"Lumberton, NC",252467,760,Y
107,PEA231,"Fremont, NE",249287,750,Y
107,PEA232,"Topeka, KS",245402,740,Y
107,PEA233,"Shelby, NC",244153,730,Y
107,PEA234,"Lexington, NC",242524,730,Y
107,PEA235,"Amarillo, TX",241798,730,Y
107,PEA236,"Grand Island, NE",240913,720,Y
107,PEA237,"Hinesville, GA",240344,720,Y
107,PEA238,"Florence, SC",239989,720,Y
107,PEA239,"Kannapolis, NC",238596,720,Y
107,PEA240,"Charlottesville, VA",234712,700,Y
107,PEA241,"Dublin, GA",233302,700,Y
107,PEA242,"Lake Charles, LA",231201,690,Y
107,PEA243,"Paducah, KY",230924,690,Y
107,PEA244,"Manhattan, KS",230920,690,Y
107,PEA245,"West Plains, MO",229798,690,Y
107,PEA246,"Auburn, AL",228786,690,Y
107,PEA247,"Nampa, ID",227487,680,Y
107,PEA248,"Sumter, SC",223344,670,Y
107,PEA249,"Bryan, TX",221455,660,Y
107,PEA250,"Las Cruces, NM",221221,660,Y
107,PEA251,"Salina, KS",219945,660,Y
107,PEA252,"Sioux City, IA",218063,650,Y
107,PEA253,"Baraboo, WI",216417,650,Y
107,PEA254,"Merrill, WI",216161,650,Y
107,PEA255,"Greenville, MS",214872,640,Y
107,PEA256,"Lynchburg, VA",213977,640,Y
107,PEA257,"Cheyenne, WY",213445,640,Y
107,PEA258,"Cullman, AL",210229,630,Y
107,PEA259,"Roswell, NM",209606,630,Y
107,PEA260,"Alpena, MI",208861,630,Y
107,PEA261,"Fargo, ND",208777,630,Y
107,PEA262,"Hilton Head Island, SC",208100,620,Y
107,PEA263,"Santa Fe, NM",201081,600,Y
107,PEA265,"Winona, MN",197462,590,Y
107,PEA266,"Lenoir, NC",197430,590,Y
107,PEA267,"Sheboygan, WI",196949,590,Y
107,PEA268,"Clinton, IA",196679,590,Y
107,PEA269,"Racine, WI",195408,590,Y
107,PEA270,"Ottawa, IL",193858,580,Y
107,PEA271,"Elmira, NY",193433,580,Y
107,PEA272,"Brownwood, TX",192692,580,Y
107,PEA273,"Bloomington, IL",186133,560,Y
107,PEA274,"Twin Falls, ID",185790,560,Y
107,PEA275,"Corsicana, TX",184725,550,Y
107,PEA276,"Rapid City, SD",183639,550,Y
107,PEA277,"Hutchinson, KS",183101,550,Y
107,PEA278,"Bartlesville, OK",179889,540,Y
107,PEA279,"Logan, UT",179703,540,Y
107,PEA280,"Garden City, KS",177150,530,Y
107,PEA281,"Muskogee, OK",177148,530,Y
107,PEA282,"Galesburg, IL",173607,520,Y
107,PEA283,"Plattsburgh, NY",173097,520,Y
107,PEA284,"Greenwood, SC",171848,520,Y
107,PEA285,"Gallup, NM",170223,510,Y
107,PEA286,"Sioux Falls, SD",169468,510,Y
107,PEA287,"Kenosha, WI",166426,500,Y
107,PEA288,"Abilene, TX",165252,500,Y
107,PEA289,"Price, UT",164900,490,Y
107,PEA290,"Watertown, SD",163741,490,Y
107,PEA291,"Rockingham, NC",162684,490,Y
107,PEA292,"Pueblo, CO",159063,480,Y
107,PEA293,"Lawrenceburg, TN",158283,470,Y
107,PEA294,"Waterloo, IA",155366,470,Y
107,PEA295,"Stillwater, OK",152050,460,Y
107,PEA296,"Pottsville, PA",148289,440,Y
107,PEA297,"Pendleton, OR",146709,440,Y
107,PEA299,"Kirksville, MO",144847,430,Y
107,PEA300,"Selma, AL",144376,430,Y
107,PEA301,"Rochester, MN",144248,430,Y
107,PEA302,"Enid, OK",143731,430,Y
107,PEA303,"Great Falls, MT",143015,430,Y
107,PEA304,"Mount Airy, NC",143013,430,Y
