auction_id,frn,bidder_name,market_number,eligible_market
107,0028676666,"8538 Green Street LLC",PEA172,Y
107,0028676666,"8538 Green Street LLC",PEA173,Y
107,0028676666,"8538 Green Street LLC",PEA174,Y
107,0028676666,"8538 Green Street LLC",PEA175,Y
107,0028676666,"8538 Green Street LLC",PEA176,Y
107,0028676666,"8538 Green Street LLC",PEA177,Y
107,0028676666,"8538 Green Street LLC",PEA178,Y
107,0028676666,"8538 Green Street LLC",PEA179,Y
107,0028676666,"8538 Green Street LLC",PEA180,Y
107,0028676666,"8538 Green Street LLC",PEA181,Y
107,0028676666,"8538 Green Street LLC",PEA182,Y
107,0028676666,"8538 Green Street LLC",PEA183,Y
107,0028676666,"8538 Green Street LLC",PEA184,Y
107,0028676666,"8538 Green Street LLC",PEA185,Y
107,0028676666,"8538 Green Street LLC",PEA186,Y
107,0028676666,"8538 Green Street LLC",PEA187,Y
107,0028676666,"8538 Green Street LLC",PEA188,Y
107,0028676666,"8538 Green Street LLC",PEA189,Y
107,0028676666,"8538 Green Street LLC",PEA190,Y
107,0028676666,"8538 Green Street LLC",PEA191,Y
107,0028676666,"8538 Green Street LLC",PEA192,Y
107,0028676666,"8538 Green Street LLC",PEA193,Y
107,0028676666,"8538 Green Street LLC",PEA194,Y
107,0028676666,"8538 Green Street LLC",PEA195,Y
107,0028676666,"8538 Green Street LLC",PEA196,Y
107,0028676666,"8538 Green Street LLC",PEA197,Y
107,0028676666,"8538 Green Street LLC",PEA198,Y
107,0028676666,"8538 Green Street LLC",PEA199,Y
107,0028676666,"8538 Green Street LLC",PEA200,Y
107,0028676666,"8538 Green Street LLC",PEA201,Y
107,0028676666,"8538 Green Street LLC",PEA202,Y
107,0028676666,"8538 Green Street LLC",PEA203,Y
107,0028676666,"8538 Green Street LLC",PEA204,Y
107,0028676666,"8538 Green Street LLC",PEA205,Y
107,0028676666,"8538 Green Street LLC",PEA206,Y
107,0028676666,"8538 Green Street LLC",PEA207,Y
107,0028676666,"8538 Green Street LLC",PEA208,Y
107,0028676666,"8538 Green Street LLC",PEA209,Y
107,0028676666,"8538 Green Street LLC",PEA210,Y
107,0028676666,"8538 Green Street LLC",PEA211,Y
107,0028676666,"8538 Green Street LLC",PEA213,Y
107,0028676666,"8538 Green Street LLC",PEA214,Y
107,0028676666,"8538 Green Street LLC",PEA215,Y
107,0028676666,"8538 Green Street LLC",PEA216,Y
107,0028676666,"8538 Green Street LLC",PEA217,Y
107,0028676666,"8538 Green Street LLC",PEA218,Y
107,0028676666,"8538 Green Street LLC",PEA219,Y
107,0028676666,"8538 Green Street LLC",PEA220,Y
107,0028676666,"8538 Green Street LLC",PEA221,Y
107,0028676666,"8538 Green Street LLC",PEA222,Y
107,0028676666,"8538 Green Street LLC",PEA223,Y
107,0028676666,"8538 Green Street LLC",PEA224,Y
107,0028676666,"8538 Green Street LLC",PEA225,Y
107,0028676666,"8538 Green Street LLC",PEA226,Y
107,0028676666,"8538 Green Street LLC",PEA227,Y
107,0028676666,"8538 Green Street LLC",PEA228,Y
107,0028676666,"8538 Green Street LLC",PEA229,Y
107,0028676666,"8538 Green Street LLC",PEA230,Y
107,0028676666,"8538 Green Street LLC",PEA231,Y
107,0028676666,"8538 Green Street LLC",PEA232,Y
107,0028676666,"8538 Green Street LLC",PEA233,Y
107,0028676666,"8538 Green Street LLC",PEA234,Y
107,0028676666,"8538 Green Street LLC",PEA235,Y
